PlotNum,Plot,nRows,SumBA,sumBAgte2,PctBAgte2,sumBAdampct,pctBApct,canopyBA,canopyBApctdam,pctcandamcanBApct,sumBAcangte2 ,pctcanBAgte2,easting,northing
423,4C3,205,13644.2891,7061.85215,0.517568347,2245.527825,0.164576389,9075.20445,1240.3942,0.136679477,4466.9483,0.492214619,614356.1865,4324478.4640
424,4C4,213,12063.82505,4379.4208,0.363020914,1742.295725,0.144423159,7416.73495,1137.767225,0.153405404,2794.0505,0.376722442,614252.8061,4324370.5340
701,701,28,7995.526091,3787.519811,0.47370489,1393.162824,0.174242796,6675.6095,1285.826384,0.192615578,3171.948293,0.475154859,613679.7219,4324680.5506
702,702,41,14592.39565,7162.139707,0.490813152,1971.905354,0.135132394,12043.49124,1213.698912,0.100776335,4854.795648,0.403105341,613919.7220,4324400.5473
703,703,43,82220.66109,81267.64553,0.98840905,39126.01524,0.475865977,7408.29433,2073.267231,0.279857568,6724.518835,0.90770136,613919.7215,4324440.5479
704,704,23,9326.56392,4162.453186,0.446300827,1039.435199,0.11144889,8074.599978,920.4984285,0.113999261,3681.993714,0.455997043,613559.7217,4324560.5515
705,705,43,10322.14437,4640.179473,0.449536386,1633.622289,0.158263848,8227.980385,1258.337449,0.152933939,3341.005247,0.406054109,613959.7216,4324400.5474
706,706,49,9601.845977,4910.489959,0.511411032,1359.730388,0.141611352,6541.157188,846.1840543,0.129363052,3092.183255,0.472727251,613959.7221,4324640.5475
707,707,29,10932.16909,6835.461588,0.625261239,1867.166324,0.170795595,10080.19273,1594.17174,0.158148935,6122.217954,0.60735128,613719.7215,4324720.5500
708,708,51,8403.202716,3298.232463,0.392497072,814.9252074,0.09697793,5847.587778,544.8424869,0.093173888,2179.369948,0.372695551,613999.7213,4324680.5472
709,709,60,9851.492637,4714.054024,0.478511653,1373.058595,0.139375691,8018.538257,1091.404996,0.136110219,3795.483749,0.473338609,614079.7217,4324720.5457
710,710,51,12116.91081,6445.566377,0.531947992,1601.20498,0.132146304,9327.812704,1176.33599,0.126110593,4705.343959,0.504442371,614119.7215,4324720.5455
712,712,62,11814.28904,9222.804969,0.780648327,2336.166837,0.197740789,9531.160142,1645.460203,0.172640075,7386.748267,0.775010403,613879.7221,4324720.5475
713,713,62,10097.92883,2992.706844,0.296368384,826.3866995,0.081837247,8865.912582,597.576574,0.067401587,2372.988266,0.267653019,614039.7221,4324520.5465
714,714,40,6790.128406,3935.70693,0.579621871,1247.931649,0.183786163,4279.360646,708.2587513,0.16550574,2320.154218,0.542173098,613999.7222,4324440.5471
715,715,70,11681.20293,3628.453435,0.310623269,776.9416832,0.06651213,8916.018393,387.8711607,0.043502732,2117.27417,0.237468574,613999.7222,4324480.5465
716,716,44,10233.82729,4262.041752,0.416466062,1128.970138,0.11031749,9240.963689,833.7260293,0.09022068,3334.904117,0.360882721,614039.7218,4324600.5465
717,717,52,12968.82434,5981.60812,0.461229789,1550.254238,0.119536991,8887.227896,829.6887293,0.093357427,3318.754917,0.373429708,613999.7214,4324640.5466
718,718,30,7769.606309,3971.679972,0.511181624,1042.248888,0.134144363,6206.640402,686.3947979,0.110590392,2657.111943,0.428107925,613999.7214,4324560.5466
801,8A1,55,32632.54756,11054.90327,0.338769238,3488.630649,0.106906476,30130.70098,3065.200901,0.101730156,10413.35078,0.345605991,615369.0904,4322911.2981
802,8A2,88,46063.23315,27046.69372,0.587164467,8004.972467,0.173782254,34885.79206,5154.462118,0.147752475,19048.55225,0.546026079,615387.5999,4322934.0020
803,8A3,89,29371.40945,4615.038878,0.157126912,2144.39224,0.073009511,25201.41644,1231.327606,0.04885946,2500.566381,0.099223247,615470.2937,4322949.6627
804,8A4,84,40005.53565,25856.47778,0.646322499,11488.45091,0.287171531,26154.84269,6197.961753,0.236971861,17188.03825,0.657164658,615433.2406,4322974.3511
811,8B1,6,2538.626776,849.2117642,0.334516193,217.2116796,0.085562668,2501.642376,207.3942025,0.082903218,0,0,615395.9342,4323016.9491
812,8B2,27,8925.005547,3795.444479,0.425259621,1135.679854,0.127246963,5067.318264,361.3636585,0.071312604,0,0,615453.0958,4323036.9754
813,8B3,18,5028.503887,2502.883305,0.497739161,1775.869678,0.353160645,4827.214192,1727.131795,0.357790586,1697.426073,0.351636784,615369.7519,4323059.5973
814,8B4,18,3577.897041,1007.650136,0.281631954,327.2184733,0.091455531,3278.817421,292.2937805,0.089146098,221.6707776,0.067606929,615379.1446,4323081.1609
