ws,plot,tree_id,species,branch,dbh,ba,dam_class,dam_gte2,pct_dam,canopy,ba_perc_dam
3,309,22,PRSE,1,16.2,206.119894,Class 1,FALSE,0,C,0
3,309,11,FAGR,1,6.8,36.31681108,Class 1,FALSE,0,S,0
3,309,33,FAGR,1,6.8,36.31681108,Class 1,FALSE,0,S,0
3,309,37,MAAC,1,5.4,22.90221044,Class 1,FALSE,0,S,0
3,309,43,OXAR,1,2.7,5.725552611,Class 1,FALSE,0,S,0
3,309,40,PRSE,1,13.6,145.2672443,Class 1,FALSE,0,S,0
3,309,42,PRSE,1,35.9,1012.229007,Class 2,TRUE,25,C,253.0572517
3,309,34,PRSE,1,23.7,441.1502944,Class 2,TRUE,25,C,110.2875736
3,309,8,PRSE,1,22.2,387.0756308,Class 2,TRUE,25,C,96.76890771
3,309,2,QURU,1,16.3,208.672438,Class 2,TRUE,25,C,52.16810951
3,309,29,ACRU,1,7.9,49.01669938,Class 2,TRUE,25,S,12.25417484
3,309,38,BELE,1,16.7,219.0396938,Class 2,TRUE,25,S,54.75992345
3,309,2,BELE,1,14.6,167.4154725,Class 2,TRUE,25,S,41.85386813
3,309,27,BELE,1,2.9,6.605198554,Class 2,TRUE,25,S,1.651299639
3,309,4,FAGR,1,9.1,65.03882191,Class 2,TRUE,25,S,16.25970548
3,309,17,LITU,1,10.3,83.32289115,Class 2,TRUE,25,S,20.83072279
3,309,10,MAFR,1,10.2,81.71282492,Class 2,TRUE,25,S,20.42820623
3,309,18,PRSE,1,20.7,336.535259,Class 2,TRUE,25,S,84.13381476
3,309,3,ACRU,1,16,201.0619298,Class 3,TRUE,50,S,100.5309649
3,309,14,ACRU,1,5.7,25.51758633,Class 3,TRUE,50,S,12.75879316
3,309,28,ACRU,1,5.1,20.42820623,Class 3,TRUE,50,S,10.21410311
3,309,15,ACRU,1,4.8,18.09557368,Class 3,TRUE,50,S,9.047786842
3,309,9,BELE,1,8.4,55.41769441,Class 3,TRUE,50,S,27.7088472
3,309,32,BELE,1,5.5,23.75829444,Class 3,TRUE,50,S,11.87914722
3,309,30,BELE,1,4.5,15.90431281,Class 3,TRUE,50,S,7.952156404
3,309,16,FAGR,1,5.3,22.06183441,Class 3,TRUE,50,S,11.0309172
3,309,36,FAGR,1,5.3,22.06183441,Class 3,TRUE,50,S,11.0309172
3,309,5,FAGR,1,3,7.068583471,Class 3,TRUE,50,S,3.534291735
3,309,10,MAFR,2,17.3,235.0618163,Class 6,TRUE,100,S,235.0618163
3,309,1,QURU,1,16,201.0619298,Class 6,TRUE,100,S,201.0619298
3,310,4,ACRU,1,18.3,263.0219909,Class 1,FALSE,0,C,0
3,310,14,ACRU,2,23.4,430.0526183,Class 1,FALSE,0,C,0
3,310,11,PRSE,1,16.9,224.3175694,Class 1,FALSE,0,C,0
3,310,12,PRSE,1,16.9,224.3175694,Class 1,FALSE,0,C,0
3,310,17,PRSE,1,28.5,637.9396582,Class 1,FALSE,0,C,0
3,310,23,PRSE,1,28.2,624.5800355,Class 1,FALSE,0,C,0
3,310,24,PRSE,1,18,254.4690049,Class 1,FALSE,0,C,0
3,310,26,PRSE,1,28.4,633.4707427,Class 1,FALSE,0,C,0
3,310,45,QUPR,1,24,452.3893421,Class 1,FALSE,0,C,0
3,310,45,QUPR,2,17.2,232.3521927,Class 1,FALSE,0,C,0
3,310,6,ACRU,1,10.6,88.24733764,Class 1,FALSE,0,S,0
3,310,8,ACRU,1,11.4,102.0703453,Class 1,FALSE,0,S,0
3,310,10,ACRU,1,11.5,103.8689071,Class 1,FALSE,0,S,0
3,310,16,ACRU,1,7.2,40.71504079,Class 1,FALSE,0,S,0
3,310,37,ACRU,1,3,7.068583471,Class 1,FALSE,0,S,0
3,310,47,ACRU,1,8.5,56.74501731,Class 1,FALSE,0,S,0
3,310,13,ACSA,1,6.3,31.17245311,Class 1,FALSE,0,S,0
3,310,46,BELE,1,15.2,181.4583917,Class 1,FALSE,0,S,0
3,310,18,FAGR,1,3.6,10.1787602,Class 1,FALSE,0,S,0
3,310,41,FAGR,1,3.7,10.75210086,Class 1,FALSE,0,S,0
3,310,42,FAGR,1,3.4,9.079202769,Class 1,FALSE,0,S,0
3,310,30,MAAC,1,16.2,206.119894,Class 1,FALSE,0,S,0
3,310,36,ACRU,1,13.5,143.1388153,Class 2,TRUE,25,C,35.78470382
3,310,20,FAGR,1,13.2,136.847776,Class 2,TRUE,25,C,34.211944
3,310,3,MAAC,1,26.2,539.1287153,Class 2,TRUE,25,C,134.7821788
3,310,5,PRSE,1,39.6,1231.629984,Class 2,TRUE,25,C,307.907496
3,310,2,PRSE,1,35.2,973.1397404,Class 2,TRUE,25,C,243.2849351
3,310,34,PRSE,1,27.5,593.9573611,Class 2,TRUE,25,C,148.4893403
3,310,25,PRSE,1,25.1,494.8086969,Class 2,TRUE,25,C,123.7021742
3,310,21,PRSE,1,22.5,397.6078202,Class 2,TRUE,25,C,99.40195505
3,310,9,QUPR,1,20.5,330.0635782,Class 2,TRUE,25,C,82.51589454
3,310,7,ACRU,1,15.5,188.6919088,Class 2,TRUE,25,S,47.17297719
3,310,15,ACRU,2,13.2,136.847776,Class 2,TRUE,25,S,34.211944
3,310,15,ACRU,1,12.8,128.6796351,Class 2,TRUE,25,S,32.16990877
3,310,7,ACRU,6,10,78.53981634,Class 2,TRUE,25,S,19.63495408
3,310,7,ACRU,3,8.3,54.10607948,Class 2,TRUE,25,S,13.52651987
3,310,40,ACRU,1,7.9,49.01669938,Class 2,TRUE,25,S,12.25417484
3,310,1,ACRU,1,7.5,44.17864669,Class 2,TRUE,25,S,11.04466167
